[2023-04-04 11:58:44.998] info: 	Request register : {}
[2023-04-04 14:27:52.637] warn: 	Response Register : {"code":"400","message":"Account with this username is already exists!","data":{}}
[2023-04-04 14:27:53.286] info: 	Request register : {"username":"tes","password":"123123"}
[2023-04-04 14:27:53.287] info: 	Processing Register : Checking data login
[2023-04-04 14:27:53.290] warn: 	Response Register : {"code":"400","message":"Account with this username is already exists!","data":{}}
[2023-04-04 14:27:53.832] info: 	Request register : {"username":"tes","password":"123123"}
[2023-04-04 14:27:53.832] info: 	Processing Register : Checking data login
[2023-04-04 14:27:53.835] warn: 	Response Register : {"code":"400","message":"Account with this username is already exists!","data":{}}
[2023-04-04 14:27:54.476] info: 	Request register : {"username":"tes","password":"123123"}
[2023-04-04 14:27:54.477] info: 	Processing Register : Checking data login
[2023-04-04 14:27:54.480] warn: 	Response Register : {"code":"400","message":"Account with this username is already exists!","data":{}}
[2023-04-04 14:28:51.194] debug: 	Processing products : inserting data...
[2023-04-04 14:28:51.315] error: 	Response products : insert into "products" ("created_at", "created_by", "description", "name", "price", "stock") values ($1, $2, DEFAULT, DEFAULT, DEFAULT, DEFAULT) - null value in column "name" of relation "products" violates not-null constraint
[2023-04-04 14:29:06.993] warn: 	Response Insert Product : {"code":"400","message":"Product name is required","data":{}}
[2023-04-04 14:29:08.430] warn: 	Response Insert Product : {"code":"400","message":"Product name is required","data":{}}
[2023-04-04 14:29:09.379] warn: 	Response Insert Product : {"code":"400","message":"Product name is required","data":{}}
[2023-04-04 14:29:09.998] warn: 	Response Insert Product : {"code":"400","message":"Product name is required","data":{}}
[2023-04-04 14:29:10.691] warn: 	Response Insert Product : {"code":"400","message":"Product name is required","data":{}}
[2023-04-04 14:29:20.638] warn: 	Response Insert Product : {"code":"400","message":"Product name is required","data":{}}
[2023-04-04 14:29:42.474] warn: 	Response Insert Product : {"code":"400","message":"Product name is required","data":{}}
[2023-04-04 14:30:00.647] warn: 	Response Insert Product : {"code":"400","message":"Product name is required","data":{}}
[2023-04-04 14:30:04.677] warn: 	Response Insert Product : {"code":"400","message":"Stock name is required","data":{}}
[2023-04-04 14:30:24.502] warn: 	Response Insert Product : {"code":"400","message":"Stock is required","data":{}}
[2023-04-04 14:31:18.587] debug: 	Processing products : inserting data...
[2023-04-04 14:31:18.647] info: 	Response products : {"code":"00","message":"Insert Product Successfully","data":"INSERT"}
